               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.019339,             0.02084,           0.0022811,              0.5687,             0.52021,             0.53486,             0.35384,            0.027383,            0.047159,            0.028878,           0.0072874,           0.0072874,           0.0072874
                 139,            0.019807,            0.020363,           0.0029918,             0.55322,             0.49698,             0.48432,             0.31428,            0.028239,            0.050705,            0.032302,           0.0072676,           0.0072676,           0.0072676
                 140,            0.019142,            0.020099,           0.0025936,             0.60288,               0.476,             0.49795,             0.32242,            0.028524,            0.052292,            0.028148,           0.0072478,           0.0072478,           0.0072478
                 141,            0.018982,            0.019929,           0.0025252,             0.58595,             0.49326,             0.52827,             0.34074,            0.028236,            0.048095,            0.030012,            0.007228,            0.007228,            0.007228
                 142,            0.019338,            0.020709,           0.0024325,             0.55491,             0.53601,             0.52449,             0.33664,            0.028057,            0.049597,            0.028258,           0.0072082,           0.0072082,           0.0072082
                 143,            0.018776,            0.019615,           0.0023875,             0.60478,             0.52497,             0.53274,             0.34282,            0.028495,            0.048966,            0.032583,           0.0071884,           0.0071884,           0.0071884
                 144,            0.019178,            0.020312,            0.002038,             0.59694,             0.49548,             0.50624,             0.31878,            0.028934,            0.050722,             0.03399,           0.0071686,           0.0071686,           0.0071686
                 145,            0.018491,            0.019639,           0.0021079,             0.58921,              0.5285,             0.53687,             0.34487,            0.028844,            0.050111,            0.035922,           0.0071488,           0.0071488,           0.0071488
                 146,            0.018913,            0.019129,           0.0022493,             0.57362,             0.52844,             0.52176,             0.32741,            0.029008,            0.050076,             0.03693,            0.007129,            0.007129,            0.007129
                 147,            0.018887,            0.020457,           0.0021606,               0.558,             0.52689,             0.52193,             0.33473,            0.028362,            0.050816,            0.033984,           0.0071092,           0.0071092,           0.0071092
                 148,            0.018609,            0.019733,           0.0020855,              0.5427,             0.49609,             0.50318,             0.31664,            0.029681,            0.053625,             0.03326,           0.0070894,           0.0070894,           0.0070894
                 149,            0.018494,            0.019711,           0.0020582,             0.55308,             0.50984,             0.51187,             0.32426,            0.029122,            0.052781,            0.034275,           0.0070696,           0.0070696,           0.0070696
                 150,            0.018631,            0.019674,           0.0018008,              0.5512,             0.52399,             0.48573,             0.31454,            0.028833,            0.054695,            0.034565,           0.0070498,           0.0070498,           0.0070498
                 151,            0.018457,            0.019211,           0.0017125,             0.56969,             0.50416,             0.50377,             0.32384,            0.028635,            0.053993,             0.03206,             0.00703,             0.00703,             0.00703
                 152,            0.018347,            0.018991,           0.0016413,             0.54165,             0.50152,             0.48295,             0.31235,            0.028775,             0.05429,            0.034666,           0.0070102,           0.0070102,           0.0070102
                 153,            0.018429,            0.018807,           0.0021083,              0.5642,             0.46102,             0.48745,             0.31184,            0.029037,            0.055875,            0.035135,           0.0069904,           0.0069904,           0.0069904
                 154,            0.018522,              0.0194,           0.0021438,             0.56131,             0.49903,             0.49689,             0.32532,             0.02844,            0.054467,            0.035326,           0.0069706,           0.0069706,           0.0069706
                 155,            0.018747,            0.019662,           0.0019504,             0.57659,              0.5111,             0.51979,             0.33766,            0.027884,            0.051401,            0.033546,           0.0069508,           0.0069508,           0.0069508
                 156,            0.017963,            0.019394,           0.0018494,             0.63911,             0.46734,             0.51319,             0.33304,            0.027825,             0.05153,             0.03182,            0.006931,            0.006931,            0.006931
